gap_type,alpha,xmin_s,xmin_h
global,3.744567,38375.000000,10.659722
global,1.597245,2283.000000,0.634167
global,1.262606,9.000000,0.002500
global,1.560729,24.000000,0.006667
global,1.820232,3350.000000,0.930556
global,1.364724,60.000000,0.016667
global,2.863983,21055.000000,5.848611
global,1.684994,2298.000000,0.638333
global,1.431349,72.000000,0.020000
global,1.374798,137.000000,0.038056
global,2.071238,14481.000000,4.022500
global,2.001801,5901.000000,1.639167
global,1.734077,6206.000000,1.723889
global,3.959278,73080.000000,20.300000
global,1.363117,104.000000,0.028889
global,5.393104,1426.000000,0.396111
global,1.704492,3269.000000,0.908056
global,1.280366,18.000000,0.005000
global,3.974560,44306.000000,12.307222
global,1.293911,84.000000,0.023333
global,1.277803,15.000000,0.004167
global,3.211955,33969.000000,9.435833
global,1.401650,18.000000,0.005000
global,4.147908,41386.000000,11.496111
global,1.872797,6383.000000,1.773056
global,2.606994,46785.000000,12.995833
global,1.352033,26.000000,0.007222
global,2.315998,7864.000000,2.184444
global,1.610591,1712.000000,0.475556
global,2.246670,7417.000000,2.060278
global,1.597780,301.000000,0.083611
global,4.933709,41668.000000,11.574444
global,3.604917,38815.000000,10.781944
global,1.921982,6133.000000,1.703611
global,1.309212,115.000000,0.031944
global,2.326886,17569.000000,4.880278
global,1.337771,128.000000,0.035556
global,2.394468,22467.000000,6.240833
global,1.786447,163.000000,0.045278
global,3.456781,37843.000000,10.511944
global,1.838049,4633.000000,1.286944
global,1.803218,13903.000000,3.861944
global,1.715060,3851.000000,1.069722
global,2.595619,28600.000000,7.944444
global,1.226761,30.000000,0.008333
global,3.558359,68230.000000,18.952778
global,1.993517,14519.000000,4.033056
global,1.837711,2723.000000,0.756389
global,3.480469,38313.000000,10.642500
global,1.409415,186.000000,0.051667
global,1.670259,4405.000000,1.223611
global,1.245890,20.000000,0.005556
global,3.374948,42166.000000,11.712778
global,2.766824,44796.000000,12.443333
global,2.260671,2469.000000,0.685833
global,2.616711,38061.000000,10.572500
global,1.472238,590.000000,0.163889
global,1.533414,960.000000,0.266667
global,1.377445,90.000000,0.025000
global,1.767855,2252.000000,0.625556
global,3.286705,57476.000000,15.965556
global,1.512058,89.000000,0.024722
global,5.345084,45601.000000,12.666944
global,1.360151,120.000000,0.033333
global,1.358504,270.000000,0.075000
global,1.787650,1431.000000,0.397500
global,1.545613,1844.000000,0.512222
global,1.406295,538.000000,0.149444
global,3.360484,33719.000000,9.366389
global,1.396193,123.000000,0.034167
global,1.631465,3441.000000,0.955833
global,2.120854,11267.000000,3.129722
global,1.330197,347.000000,0.096389
global,1.572848,38.000000,0.010556
global,1.310049,62.000000,0.017222
global,3.772807,67439.000000,18.733056
global,3.176855,21753.000000,6.042500
global,2.357425,13836.000000,3.843333
global,1.722754,2321.000000,0.644722
global,1.431749,279.000000,0.077500
global,10.010428,54701.000000,15.194722
global,2.752773,15401.000000,4.278056
global,1.827158,8554.000000,2.376111
global,1.655994,260.000000,0.072222
global,1.360756,27.000000,0.007500
global,3.518623,34135.000000,9.481944
global,1.605140,94.000000,0.026111
global,1.345780,85.000000,0.023611
global,4.973188,29769.000000,8.269167
global,20.231110,1813.000000,0.503611
global,2.349650,6085.000000,1.690278
global,1.322516,118.000000,0.032778
global,1.495279,241.000000,0.066944
global,1.326558,22.000000,0.006111
global,3.014610,29483.000000,8.189722
global,5.660160,54206.000000,15.057222
global,2.016363,474.000000,0.131667
global,1.309581,63.000000,0.017500
global,3.469700,44196.000000,12.276667
global,2.528434,860.000000,0.238889
global,1.630134,2583.000000,0.717500
global,1.902986,1707.000000,0.474167
global,1.442176,100.000000,0.027778
global,3.505251,30840.000000,8.566667
global,5.637943,37625.000000,10.451389
global,2.867490,38125.000000,10.590278
global,1.948071,2389.000000,0.663611
global,4.607385,34720.000000,9.644444
global,2.616095,7734.000000,2.148333
global,3.178478,28885.000000,8.023611
global,1.780063,4837.000000,1.343611
global,1.848264,5788.000000,1.607778
global,3.401116,26260.000000,7.294444
global,2.365771,12851.000000,3.569722
global,1.284542,55.000000,0.015278
global,1.526587,930.000000,0.258333
global,1.709870,73.000000,0.020278
global,1.615446,3939.000000,1.094167
global,2.844604,34866.000000,9.685000
global,1.564103,1201.000000,0.333611
global,2.763353,27183.000000,7.550833
global,1.609461,354.000000,0.098333
global,2.895733,21788.000000,6.052222
global,1.526327,3350.000000,0.930556
global,1.846864,7864.000000,2.184444
global,1.324202,81.000000,0.022500
global,1.911783,532.000000,0.147778
global,2.219588,8255.000000,2.293056
global,4.142460,43705.000000,12.140278
global,1.960285,6133.000000,1.703611
global,1.515683,84.000000,0.023333
global,1.357543,85.000000,0.023611
global,2.150558,9172.000000,2.547778
global,2.129639,16408.000000,4.557778
global,1.734545,14174.000000,3.937222
global,2.832575,22227.000000,6.174167
global,3.488045,30315.000000,8.420833
global,1.867931,6994.000000,1.942778
global,2.013804,3921.000000,1.089167
